date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:34	24437/24437	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jul%202017%2001:37:33%20GMT	https://porndeals.com/robots.txt		(from )
21:37:34	294508/294508	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:19:29%20GMT	https://porndeals.com/	H:/PornDeals/PornDeals/porndeals.com/index.html	(from )
21:37:35	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2016%20Jul%202015%2011:42:54%20GMT	https://porndeals.com/static/images/icons/favicon.ico	H:/PornDeals/PornDeals/porndeals.com/static/images/icons/favicon.ico	(from https://porndeals.com/)
21:37:35	24744/24744	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:37:34%20GMT	https://porndeals.com/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d	(from https://porndeals.com/)
21:37:35	20335/20335	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2016%20Jul%202015%2011:44:33%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.eot?8721942d50ef	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular4985.eot	(from https://porndeals.com/)
21:37:35	20335/20335	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2016%20Jul%202015%2011:44:33%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.eot?&8721942d50ef	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular070b.eot	(from https://porndeals.com/)
21:37:35	18028/18028	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2020:55:30%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2?720a8cd4cd94	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regulardbd9.html	(from https://porndeals.com/)
21:37:36	23320/23320	---MCZ	200	added ('OK')	application/font-woff	date:Thu,%2016%20Jul%202015%2011:44:34%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff?679efb3c9ab2	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular9cb4.woff	(from https://porndeals.com/)
21:37:36	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2016%20Jul%202015%2011:44:34%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.ttf?679efb3c9ab2	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular9cb4.ttf	(from https://porndeals.com/)
21:37:36	62927/62927	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Jul%202015%2011:44:34%20GMT	https://porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular.svg?679efb3c9ab2	H:/PornDeals/PornDeals/porndeals.com/static/vendors/bootstrap/fonts/glyphicons-halflings-regular9cb4.svg	(from https://porndeals.com/)
